60   1  10  10  13
60   2  10  10   5
60   3   5   5   3
60   4   2   2   7
60   5   1   1   7
60   6  10   9   7
60   7  10   9  13
60   8   1   1   1
60   9   6   6   3
60  10   2   2   7
60  11   8   7   3
60  12  12  12   7
60  13   6   6   1
60  14   4   3   3
60  15   8   8   3
60  16   9  10   7
60  17  14  14   9
60  18   1   2   5
60  19   9  10  13
60  20   2   2  11
60  21   3   4  17
60  22   2   2   1
60  23   9  10  11
60  24  11  12  13
60  25  10  10   1
60  26  12  12  13
60  27   4   3   3
60  28   2   1   7
60  29   8   8   3
60  30  10  10   3
60  31   6   6  11
60  32  11  11   1
60  33   1   2  11
60  34   8   8   3
60  35   2   2   3
60  36   3   4   3
60  37   8   7   5
60  38   6   6   5
60  39   3   3   1
60  40   7   7   7
60  41   9   9   1
60  42   4   3   5
60  43  13  14   1
60  44   4   3   1
60  45   9  10   3
60  46   6   6  13
60  47   5   6   9
60  48   9   9   5
60  49   6   5  13
60  50   3   4   9
60  51  12  12   1
60  52   2   1   3
60  53   2   2   7
60  54  15  16   3
60  55  16  15   5
60  56   4   4   7
60  57   9  10   1
60  58   4   4  11
60  59   8   7   1
60  60   3   3   9
