40   1   8   7   1
40   2   9  10  15
40   3  10  10  13
40   4   5   6   1
40   5   6   5   9
40   6   2   1   5
40   7  11  11   3
40   8   3   3   3
40   9   5   5   5
40  10   7   8   5
40  11  11  11   3
40  12  18  18   1
40  13   7   8   9
40  14   4   3   1
40  15   1   2  11
40  16   2   1   7
40  17   2   1   3
40  18   3   4   3
40  19  12  12   5
40  20   2   2  13
40  21  15  15  13
40  22  12  11   7
40  23   6   6   5
40  24   3   3   7
40  25   6   5   1
40  26  14  14   1
40  27   2   2   5
40  28   6   5   1
40  29   8   8   5
40  30   7   8   1
40  31  16  16   7
40  32   2   1  13
40  33  10  10   1
40  34   4   3   9
40  35   2   1   7
40  36   4   4   3
40  37   9   9   1
40  38   9  10  17
40  39   1   2  11
40  40   5   5  11
